task,P0_baseline_steered__rate_pct,P0_baseline_steered__n,P0_baseline_steered__avg_steps,P1_baseline_steered__rate_pct,P1_baseline_steered__n,P1_baseline_steered__avg_steps,P2_baseline_steered__rate_pct,P2_baseline_steered__n,P2_baseline_steered__avg_steps,P3_baseline_steered__rate_pct,P3_baseline_steered__n,P3_baseline_steered__avg_steps,P4_baseline_steered__rate_pct,P4_baseline_steered__n,P4_baseline_steered__avg_steps,P0_action_object__rate_pct,P0_action_object__n,P0_action_object__avg_steps,P1_action_object__rate_pct,P1_action_object__n,P1_action_object__avg_steps,P2_action_object__rate_pct,P2_action_object__n,P2_action_object__avg_steps,P3_action_object__rate_pct,P3_action_object__n,P3_action_object__avg_steps,P4_action_object__rate_pct,P4_action_object__n,P4_action_object__avg_steps,P0_baseline__rate_pct,P0_baseline__n,P0_baseline__avg_steps,P1_baseline__rate_pct,P1_baseline__n,P1_baseline__avg_steps,P2_baseline__rate_pct,P2_baseline__n,P2_baseline__avg_steps,P3_baseline__rate_pct,P3_baseline__n,P3_baseline__avg_steps,P4_baseline__rate_pct,P4_baseline__n,P4_baseline__avg_steps
place_in_slider,64,16/25,11,76,19/25,13,20,5/25,7.2,16,4/25,6.5,0,0/25,,80,20/25,6.1,84,21/25,6.9,72,18/25,10.8,44,11/25,7.1,40,10/25,8.8,76,19/25,4.7,80,20/25,5.1,76,19/25,6.3,32,8/25,9.1,20,5/25,6.8
place_in_drawer,92,23/25,4.6,100,25/25,5.1,88,22/25,6.5,100,25/25,5.9,16,4/25,4.0,92,23/25,4.9,72,18/25,7.4,76,19/25,6.8,76,19/25,6.2,68,17/25,6.6,96,24/25,4,96,24/25,4,96,24/25,4.4,92,23/25,4.3,4,1/25,12
push_into_drawer,48,12/25,6.5,48,12/25,7.1,52,13/25,6.8,8,2/25,1.5,44,11/25,5.9,76,19/25,6.9,80,20/25,7.2,84,21/25,6,80,20/25,7.4,72,18/25,6.2,84,21/25,8.2,76,19/25,9.4,80,20/25,8.9,72,18/25,11.4,8,2/25,12.5
stack_block,64,16/25,6.9,48,12/25,3.8,44,11/25,5.5,0,0/25,,24,6/25,7.5,72,18/25,5.6,76,18/25,5,72,18/25,3.4,80,20/25,6.3,80,20/25,5.8,60,15/25,7.5,60,15/25,6.9,72,18/25,7.1,32,8/25,9.9,44,11/25,10.3
unstack_block,92,23/25,4.5,92,23/25,5.1,56,14/25,6.6,0,0/25,,92,23/25,4.0,96,24/25,5.3,92,23/25,5,88,22/25,5.1,72,18/25,6.7,100,25/25,4,92,23/25,6.2,100,25/25,6.8,100,25/25,5.8,92,23/25,7.7,92,23/25,8
turn_on_lightbulb,100,25/25,5,100,25/25,5.4,100,25/25,5.4,96,24/25,6.8,36,9/25,5.6,100,25/25,4.7,96,24/25,3.9,100,25/25,4.8,92,23/25,7.2,80,20/25,5.5,20,5/25,12,16,4/25,11.2,24,6/25,12.7,24,6/25,9.3,4,1/25,18
turn_off_lightbulb,92,23/25,13.5,96,24/25,12.6,88,22/25,9.7,100,25/25,5.2,16,4/25,7.5,92,23/25,5.3,92,23/25,8.1,92,23/25,5.7,88,22/25,8,84,22/25,7.4,32,8/25,10.1,28,7/25,10.7,28,7/25,8,0,0/25,,0,0/25,
turn_on_led,88,22/25,4,92,23/25,4.5,88,22/25,4.5,84,21/25,3.6,0,0/25,,100,25/25,4.9,100,25/25,4,100,25/25,3.9,96,24/25,4,100,25/25,4,100,25/25,8.1,100,25/25,8.1,96,24/25,8.1,92,23/25,8.7,0,0/25,
turn_off_led,96,24/25,5,96,24/25,4.9,76,19/25,3.4,80,20/25,4.7,72,18/25,3.7,100,25/25,3.3,100,25/25,5,100,25/25,3.2,100,25/25,5.1,100,25/25,4.5,100,25/25,6.6,100,25/25,6.8,88,22/25,6.2,88,22/25,8.3,12,3/25,11.3
OVERALL,86,,,80,,,,,,,,,,,,80,,,82,,,,,,,,,,,,80.4,683/850,,80.7,686/850,,79.2,673/850,,49.6,422/850,,14.5,120/830,
